episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
166, 1014.6008605957031, 1, 20.974070082069375, 1023, 245955,                                             245955, 8.990120887756348, 295.2765808105469
167, 1241.4361573159695, 1, 15.943513981066644, 766, 246721,                                             246721, 8.296468734741211, 296.416015625
168, 1595.9299757182598, 1, 11.752339325961657, 564, 247285,                                             247285, 8.356234550476074, 294.4590759277344
169, 1128.664367377758, 1, 14.737032955978066, 720, 248005,                                             248005, 7.993687629699707, 294.37640380859375
170, 1069.1370785832405, 1, 15.93975194497034, 778, 248783,                                             248783, 7.641106605529785, 295.4179382324219
171, 1791.7015259563923, 1, 9.5717599010095, 452, 249235,                                             249235, 8.123895645141602, 292.4607238769531
172, 1508.4244394600391, 1, 12.131781510077417, 594, 249829,                                             249829, 8.47506046295166, 293.0766906738281
173, 1279.7190418839455, 1, 14.360174476052634, 696, 250525,                                             250525, 8.36789321899414, 293.7978515625
174, 1464.0453759133816, 1, 11.331444657058455, 561, 251086,                                             251086, 8.67396068572998, 291.3365478515625
175, 978.25246784091, 1, 16.14105020905845, 785, 251871,                                             251871, 8.660717010498047, 291.5295104980469
176, 769.7932969331741, 1, 20.77504112792667, 981, 252852,                                             252852, 8.739731788635254, 287.9259033203125
177, 1408.9403836280107, 1, 16.144199137110263, 782, 253634,                                             253634, 8.291975021362305, 290.0838928222656
178, 1206.7707247436047, 1, 15.76068381301593, 750, 254384,                                             254384, 8.42174243927002, 286.70440673828125
179, 1440.6216334998608, 1, 10.525262346025556, 512, 254896,                                             254896, 7.6757493019104, 288.4800720214844
180, 2083.355481594801, 1, 7.5221726059680805, 369, 255265,                                             255265, 8.534029960632324, 287.0758361816406
181, 1399.3337032198906, 1, 11.776945603080094, 585, 255850,                                             255850, 9.126036643981934, 286.6611328125
182, 1885.391250193119, 1, 8.92314502899535, 415, 256265,                                             256265, 8.949182510375977, 285.1418762207031
183, 1486.0906910002232, 1, 14.15104178909678, 680, 256945,                                             256945, 10.068116188049316, 286.1917419433594
184, 1353.1479108929634, 1, 13.931890922016464, 688, 257633,                                             257633, 8.233059883117676, 284.0356750488281
185, 1779.2222223877907, 1, 10.348408762016334, 509, 258142,                                             258142, 8.405454635620117, 282.93048095703125
186, 1664.355039358139, 1, 13.533467983012088, 634, 258776,                                             258776, 9.836175918579102, 287.6901550292969
187, 1435.6902539730072, 1, 13.53948155301623, 629, 259405,                                             259405, 8.48281192779541, 284.8786315917969
188, 1378.4889153242111, 1, 13.337214483995922, 644, 260049,                                             260049, 8.461864471435547, 281.3078308105469
189, 1551.4072709679604, 1, 11.3286652660463, 558, 260607,                                             260607, 9.273316383361816, 282.02728271484375
190, 1875.218345373869, 1, 9.147498970036395, 450, 261057,                                             261057, 8.394242286682129, 282.9085388183594
191, 1430.5748081207275, 1, 12.375387503998354, 557, 261614,                                             261614, 8.120539665222168, 282.8025817871094
192, 1431.3838264644146, 1, 13.558520986000076, 633, 262247,                                             262247, 8.029275894165039, 279.9869079589844
193, 1752.2131752073765, 1, 9.725774856982753, 451, 262698,                                             262698, 9.41309642791748, 281.9942321777344
194, 1346.0336275994778, 1, 13.13210591499228, 612, 263310,                                             263310, 8.768797874450684, 281.6207580566406
195, 1403.559788942337, 1, 11.930007330025546, 585, 263895,                                             263895, 9.244333267211914, 279.93902587890625
196, 1189.762139648199, 1, 13.557020628941245, 671, 264566,                                             264566, 8.030603408813477, 281.15496826171875
197, 1806.0154998600483, 1, 12.130171022959985, 579, 265145,                                             265145, 7.711390972137451, 275.18682861328125
198, 1020.5769183933735, 1, 20.548442339990288, 992, 266137,                                             266137, 8.575382232666016, 276.2651062011719
199, 1556.7202516794205, 1, 10.942800597986206, 530, 266667,                                             266667, 7.791379451751709, 276.29290771484375
200, 1871.7699191868305, 1, 9.123513630940579, 423, 267090,                                             267090, 8.989501953125, 276.6839904785156
201, 1461.424307346344, 1, 10.220873991958797, 484, 267574,                                             267574, 9.552266120910645, 278.0477294921875
202, 1625.4362113177776, 1, 9.52491908997763, 440, 268014,                                             268014, 8.301159858703613, 276.3285827636719
203, 1640.0179602354765, 1, 11.734409485943615, 564, 268578,                                             268578, 9.572202682495117, 273.0201110839844
204, 912.409087061882, 1, 20.751724533038214, 994, 269572,                                             269572, 8.72860050201416, 275.9794921875
205, 1421.5117348134518, 1, 11.331442359020002, 565, 270137,                                             270137, 8.524007797241211, 272.75262451171875
206, 1223.8708938360214, 1, 12.550188763067126, 609, 270746,                                             270746, 8.398405075073242, 272.893798828125
207, 1297.0905013978481, 1, 16.13671074504964, 768, 271514,                                             271514, 9.14691162109375, 271.7889099121094
208, 1763.812244772911, 1, 12.331452342914417, 593, 272107,                                             272107, 7.8261613845825195, 272.4090576171875
